id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,view drift,73,44,33,89,203,ship,baseline,monotonic-signal,raise-signal
m002,g002,state pressure,54,55,21,20,98,hold,edge,drag-penalty,drop-slack
m003,g003,layout risk,52,44,45,30,-17,hold,recovery,confidence-floor,raise-drag
m004,g004,interaction cost,99,36,27,73,245,ship,negative,lane-boundary,lower-confidence
m005,g005,view drift,47,34,23,32,77,hold,baseline,monotonic-signal,raise-signal
m006,g006,state pressure,99,25,43,53,114,watch,edge,drag-penalty,drop-slack
m007,g007,layout risk,45,39,20,68,165,ship,recovery,confidence-floor,raise-drag
m008,g008,interaction cost,65,43,20,24,121,watch,negative,lane-boundary,lower-confidence
m009,g009,view drift,44,48,25,69,149,watch,baseline,monotonic-signal,raise-signal
m010,g010,state pressure,67,42,29,89,209,ship,edge,drag-penalty,drop-slack
m011,g011,layout risk,87,23,19,61,224,ship,recovery,confidence-floor,raise-drag
m012,g012,interaction cost,100,45,5,38,296,ship,negative,lane-boundary,lower-confidence
m013,g013,view drift,75,59,4,51,291,ship,baseline,monotonic-signal,raise-signal
m014,g014,state pressure,53,57,4,98,339,ship,edge,drag-penalty,drop-slack
m015,g015,layout risk,50,75,33,40,90,hold,recovery,confidence-floor,raise-drag
m016,g016,interaction cost,52,11,39,46,12,hold,negative,lane-boundary,lower-confidence
m017,g017,view drift,109,52,26,30,200,ship,baseline,monotonic-signal,raise-signal
m018,g018,state pressure,84,64,21,20,167,ship,edge,drag-penalty,drop-slack
m019,g019,layout risk,79,19,48,62,61,hold,recovery,confidence-floor,raise-drag
m020,g020,interaction cost,36,28,31,75,95,hold,negative,lane-boundary,lower-confidence
m021,g021,view drift,115,70,7,105,475,ship,baseline,monotonic-signal,raise-signal
m022,g022,state pressure,101,13,17,29,188,ship,edge,drag-penalty,drop-slack
m023,g023,layout risk,102,38,52,85,152,watch,recovery,confidence-floor,raise-drag
m024,g024,interaction cost,106,13,18,18,171,ship,negative,lane-boundary,lower-confidence
m025,g025,view drift,76,22,6,52,248,ship,baseline,monotonic-signal,raise-signal
m026,g026,state pressure,95,0,23,67,209,ship,edge,drag-penalty,drop-slack
m027,g027,layout risk,69,76,19,36,191,ship,recovery,confidence-floor,raise-drag
m028,g028,interaction cost,59,77,8,55,265,ship,negative,lane-boundary,lower-confidence
m029,g029,view drift,111,10,28,88,268,ship,baseline,monotonic-signal,raise-signal
m030,g030,state pressure,83,38,40,60,124,watch,edge,drag-penalty,drop-slack
m031,g031,layout risk,77,71,12,50,265,ship,recovery,confidence-floor,raise-drag
m032,g032,interaction cost,105,49,10,37,283,ship,negative,lane-boundary,lower-confidence
m033,g033,view drift,104,41,14,97,373,ship,baseline,monotonic-signal,raise-signal
m034,g034,state pressure,93,28,39,39,97,hold,edge,drag-penalty,drop-slack
m035,g035,layout risk,52,41,39,58,66,hold,recovery,confidence-floor,raise-drag
m036,g036,interaction cost,79,44,31,16,79,hold,negative,lane-boundary,lower-confidence
m037,g037,view drift,61,48,31,105,225,ship,baseline,monotonic-signal,raise-signal
m038,g038,state pressure,86,42,11,61,281,ship,edge,drag-penalty,drop-slack
m039,g039,layout risk,106,58,31,87,289,ship,recovery,confidence-floor,raise-drag
m040,g040,interaction cost,76,28,11,91,307,ship,negative,lane-boundary,lower-confidence
m041,g041,view drift,117,50,6,28,310,ship,baseline,monotonic-signal,raise-signal
m042,g042,state pressure,40,53,26,84,171,ship,edge,drag-penalty,drop-slack
m043,g043,layout risk,53,73,23,30,124,watch,recovery,confidence-floor,raise-drag
m044,g044,interaction cost,107,10,34,38,130,watch,negative,lane-boundary,lower-confidence
m045,g045,view drift,103,16,44,66,134,watch,baseline,monotonic-signal,raise-signal
m046,g046,state pressure,91,46,30,35,148,watch,edge,drag-penalty,drop-slack
m047,g047,layout risk,93,10,52,67,70,hold,recovery,confidence-floor,raise-drag
m048,g048,interaction cost,53,24,33,74,113,watch,negative,lane-boundary,lower-confidence
m049,g049,view drift,46,33,8,59,203,ship,baseline,monotonic-signal,raise-signal
